"","日日","周次","場次","隊伍","球場","經度","緯度","移動距離"
"1","2024/3/31",13,2,"中信兄弟  VS.  味全龍","大巨蛋",121.55958,25.0426,0
"2","2024/4/3",14,7,"台鋼雄鷹  VS.  中信兄弟","大巨蛋",121.55958,25.0426,0
"3","2024/4/4",14,10,"台鋼雄鷹  VS.  中信兄弟","大巨蛋",121.55958,25.0426,36.4797077195007
"4","2024/4/5",14,11,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"5","2024/4/6",14,14,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"6","2024/4/7",14,17,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"7","2024/4/9",15,20,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"8","2024/4/10",15,22,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,144.24869948821
"9","2024/4/12",15,27,"味全龍  VS.  中信兄弟","洲際",120.68513,24.19994,0
"10","2024/4/13",15,30,"味全龍  VS.  中信兄弟","洲際",120.68513,24.19994,0
"11","2024/4/14",15,33,"味全龍  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
"12","2024/4/17",16,39,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
"13","2024/4/18",16,40,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,287.907354161763
"14","2024/4/19",16,41,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"15","2024/4/20",16,44,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"16","2024/4/21",16,47,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,175.197412199752
"17","2024/4/23",17,50,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"18","2024/4/24",17,53,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"19","2024/4/26",17,56,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"20","2024/4/27",17,59,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"21","2024/4/28",17,62,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,133.050022994122
"22","2024/5/1",18,66,"中信兄弟  VS.  味全龍","天母",121.53295,25.11364,133.050022994122
"23","2024/5/3",18,71,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"24","2024/5/4",18,74,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"25","2024/5/5",18,77,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"26","2024/5/8",19,82,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"27","2024/5/9",19,83,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
