"","日日","周次","場次","隊伍","球場","經度","緯度","移動距離"
"1","2024/3/31",13,4,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,261.882895961592
"2","2024/4/3",14,6,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"3","2024/4/4",14,9,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,287.907354161763
"4","2024/4/5",14,12,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"5","2024/4/6",14,15,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"6","2024/4/7",14,18,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,298.651350434818
"7","2024/4/10",15,24,"富邦悍將  VS.  味全龍","天母",121.53295,25.11364,0
"8","2024/4/11",15,25,"富邦悍將  VS.  味全龍","天母",121.53295,25.11364,11.691994466225
"9","2024/4/12",15,28,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"10","2024/4/13",15,31,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"11","2024/4/14",15,34,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"12","2024/4/17",16,39,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
"13","2024/4/18",16,40,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,116.071156635402
"14","2024/4/19",16,43,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"15","2024/4/20",16,46,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"16","2024/4/21",16,49,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,116.071156635402
"17","2024/4/23",17,51,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"18","2024/4/24",17,54,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"19","2024/4/26",17,58,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,0
"20","2024/4/27",17,61,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,0
"21","2024/4/28",17,64,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,25.4034517790673
"22","2024/5/1",18,68,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"23","2024/5/2",18,69,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,103.328935735713
"24","2024/5/3",18,71,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"25","2024/5/4",18,74,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"26","2024/5/5",18,77,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,163.399245295005
"27","2024/5/7",19,79,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,0
"28","2024/5/8",19,80,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,252.755806078708
"29","2024/5/10",19,85,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
"30","2024/5/11",19,88,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
"31","2024/5/12",19,91,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,261.882895961592
"32","2024/5/15",20,97,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,273.05766020534
"33","2024/5/17",20,99,"富邦悍將  VS.  味全龍","天母",121.53295,25.11364,0
"34","2024/5/18",20,102,"富邦悍將  VS.  味全龍","天母",121.53295,25.11364,0
"35","2024/5/19",20,105,"富邦悍將  VS.  味全龍","天母",121.53295,25.11364,11.691994466225
"36","2024/5/21",21,107,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"37","2024/5/22",21,109,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"38","2024/5/24",21,113,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"39","2024/5/25",21,116,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"40","2024/5/26",21,119,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,121.435132699943
"41","2024/5/29",22,126,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,0
"42","2024/5/30",22,127,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
"43","2024/5/31",22,130,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"44","2024/6/1",22,133,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"45","2024/6/2",22,136,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"46","2024/6/4",23,139,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,0
"47","2024/6/5",23,142,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,25.4034517790673
"48","2024/6/7",23,143,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"49","2024/6/8",23,146,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"50","2024/6/9",23,149,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,25.4034517790673
"51","2024/6/10",24,154,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
"52","2024/6/13",24,157,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,0
"53","2024/6/14",24,160,"味全龍  VS.  富邦悍將","新莊",121.44871,25.04146,0
"54","2024/6/15",24,163,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"55","2024/6/16",24,166,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,121.435132699943
"56","2024/6/18",25,169,"富邦悍將  VS.  中信兄弟","洲際",120.68513,24.19994,144.24869948821
"57","2024/6/20",25,171,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"58","2024/6/21",25,173,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,246.595272768744
"59","2024/6/22",25,177,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"60","2024/6/23",25,180,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"61","2024/7/5",27,183,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"62","2024/7/6",27,186,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"63","2024/7/7",27,189,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.262806734241
"64","2024/7/9",28,192,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,0
"65","2024/7/10",28,195,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,252.755806078708
"66","2024/7/12",28,197,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"67","2024/7/13",28,200,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"68","2024/7/14",28,203,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"69","2024/7/16",29,205,"中信兄弟  VS.  富邦悍將","新莊",121.44871,25.04146,0
