"","日日","周次","場次","隊伍","球場","經度","緯度","移動距離"
"1","2024/3/31",13,3,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,36.4797077195007
"2","2024/4/3",14,7,"台鋼雄鷹  VS.  中信兄弟","大巨蛋",121.55958,25.0426,0
"3","2024/4/4",14,10,"台鋼雄鷹  VS.  中信兄弟","大巨蛋",121.55958,25.0426,292.556466888542
"4","2024/4/5",14,12,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"5","2024/4/6",14,15,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"6","2024/4/7",14,18,"富邦悍將  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"7","2024/4/9",15,21,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"8","2024/4/10",15,23,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,39.5086584548923
"9","2024/4/12",15,26,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"10","2024/4/13",15,29,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"11","2024/4/14",15,32,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,181.283183169566
"12","2024/4/16",16,35,"味全龍  VS.  台鋼雄鷹","花蓮",121.58579,24.00626,0
"13","2024/4/17",16,37,"味全龍  VS.  台鋼雄鷹","花蓮",121.58579,24.00626,195.841261066664
"14","2024/4/19",16,41,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"15","2024/4/20",16,44,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"16","2024/4/21",16,47,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,287.907354161763
"17","2024/4/23",17,51,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"18","2024/4/24",17,54,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,25.4034517790673
"19","2024/4/26",17,57,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"20","2024/4/27",17,60,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"21","2024/4/28",17,63,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,274.881226656885
"22","2024/4/30",18,65,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"23","2024/5/1",18,67,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,298.651350434818
"24","2024/5/3",18,70,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,0
"25","2024/5/4",18,73,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,0
"26","2024/5/5",18,76,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,261.930811232752
"27","2024/5/7",19,79,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,0
"28","2024/5/8",19,80,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,80.4992291789989
"29","2024/5/10",19,84,"味全龍  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"30","2024/5/11",19,87,"味全龍  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"31","2024/5/12",19,90,"味全龍  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,274.881226656885
"32","2024/5/14",20,94,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"33","2024/5/15",20,96,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,274.881226656885
"34","2024/5/17",20,100,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"35","2024/5/18",20,103,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"36","2024/5/19",20,106,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"37","2024/5/22",21,111,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"38","2024/5/23",21,112,"中信兄弟  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,287.907354161763
"39","2024/5/24",21,113,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"40","2024/5/25",21,116,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"41","2024/5/26",21,119,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,11.691994466225
"42","2024/5/28",22,122,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,0
"43","2024/5/29",22,124,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,298.651350434818
"44","2024/5/31",22,129,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"45","2024/6/1",22,132,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"46","2024/6/2",22,135,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,39.5086584548923
"47","2024/6/4",23,138,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"48","2024/6/5",23,141,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,144.24869948821
"49","2024/6/7",23,144,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,0
"50","2024/6/8",23,147,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,0
"51","2024/6/9",23,150,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,175.197412199752
"52","2024/6/10",24,152,"味全龍  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"53","2024/6/13",24,155,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"54","2024/6/14",24,158,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,287.907354161763
"55","2024/6/15",24,163,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"56","2024/6/16",24,166,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,11.691994466225
"57","2024/6/18",25,167,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,35.758903227925
"58","2024/6/21",25,174,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,36.4797077195007
"59","2024/6/22",25,175,"中信兄弟  VS.  台鋼雄鷹","大巨蛋",121.55958,25.0426,0
"60","2024/6/23",25,178,"中信兄弟  VS.  台鋼雄鷹","大巨蛋",121.55958,25.0426,8.35151213798012
"61","2024/7/5",27,182,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,0
"62","2024/7/6",27,185,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,0
"63","2024/7/7",27,188,"台鋼雄鷹  VS.  味全龍","天母",121.53295,25.11364,261.930811232752
"64","2024/7/9",28,192,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,0
"65","2024/7/10",28,195,"富邦悍將  VS.  台鋼雄鷹","台東",121.12934,22.78976,80.4992291789989
"66","2024/7/12",28,198,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"67","2024/7/13",28,201,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"68","2024/7/14",28,204,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,39.5086584548923
"69","2024/7/16",29,206,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"70","2024/7/17",29,208,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,144.24869948821
"71","2024/7/24",30,215,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,0
"72","2024/7/25",30,216,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
"73","2024/7/26",30,219,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"74","2024/7/27",30,222,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
"75","2024/7/28",30,225,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,116.071156635402
"76","2024/7/30",31,226,"味全龍  VS.  台鋼雄鷹","花蓮",121.58579,24.00626,0
"77","2024/7/31",31,228,"味全龍  VS.  台鋼雄鷹","花蓮",121.58579,24.00626,195.841261066664
"78","2024/8/2",31,232,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"79","2024/8/3",31,235,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,92.7191383060808
"80","2024/8/4",31,238,"統一7-ELEVEn獅  VS.  台鋼雄鷹","嘉義市",120.46615,23.48187,184.821989187515
"81","2024/8/6",32,242,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"82","2024/8/7",32,244,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,36.4797077195007
"83","2024/8/9",32,249,"中信兄弟  VS.  台鋼雄鷹","大巨蛋",121.55958,25.0426,0
"84","2024/8/10",32,252,"中信兄弟  VS.  台鋼雄鷹","大巨蛋",121.55958,25.0426,0
"85","2024/8/11",32,253,"中信兄弟  VS.  台鋼雄鷹","大巨蛋",121.55958,25.0426,292.556466888542
"86","2024/8/13",33,257,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"87","2024/8/14",33,259,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,175.197412199752
"88","2024/8/16",33,262,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,0
"89","2024/8/17",33,265,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,0
"90","2024/8/18",33,268,"台鋼雄鷹  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
"91","2024/8/20",34,272,"台鋼雄鷹  VS.  富邦悍將","新莊",121.44871,25.04146,0
