"","日日","周次","場次","隊伍","球場","經度","緯度","移動距離"
"1","2024/3/31",13,4,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,261.882895961592
"2","2024/4/3",14,6,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"3","2024/4/4",14,9,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,11.691994466225
"4","2024/4/5",14,13,"統一7-ELEVEn獅  VS.  味全龍","天母",121.53295,25.11364,0
"5","2024/4/6",14,16,"統一7-ELEVEn獅  VS.  味全龍","天母",121.53295,25.11364,0
"6","2024/4/7",14,19,"統一7-ELEVEn獅  VS.  味全龍","天母",121.53295,25.11364,273.05766020534
"7","2024/4/9",15,20,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"8","2024/4/10",15,22,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"9","2024/4/12",15,26,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"10","2024/4/13",15,29,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"11","2024/4/14",15,32,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,246.595272768744
"12","2024/4/16",16,36,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"13","2024/4/17",16,38,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,117.398816107093
"14","2024/4/19",16,43,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"15","2024/4/20",16,46,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"16","2024/4/21",16,49,"富邦悍將  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"17","2024/4/23",17,52,"味全龍  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"18","2024/4/24",17,55,"味全龍  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,94.024570159392
"19","2024/4/26",17,56,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"20","2024/4/27",17,59,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"21","2024/4/28",17,62,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,175.197412199752
"22","2024/4/30",18,65,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"23","2024/5/1",18,67,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,39.5086584548923
"24","2024/5/3",18,72,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"25","2024/5/4",18,75,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"26","2024/5/5",18,78,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,144.24869948821
"27","2024/5/8",19,82,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,0
"28","2024/5/9",19,83,"統一7-ELEVEn獅  VS.  中信兄弟","洲際",120.68513,24.19994,103.328935735713
"29","2024/5/10",19,86,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"30","2024/5/11",19,89,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"31","2024/5/12",19,92,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"32","2024/5/15",20,97,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,39.5086584548923
"33","2024/5/17",20,100,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"34","2024/5/18",20,103,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"35","2024/5/19",20,106,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,298.651350434818
"36","2024/5/21",21,108,"統一7-ELEVEn獅  VS.  味全龍","天母",121.53295,25.11364,0
"37","2024/5/22",21,110,"統一7-ELEVEn獅  VS.  味全龍","天母",121.53295,25.11364,273.05766020534
"38","2024/5/24",21,115,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"39","2024/5/25",21,118,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"40","2024/5/26",21,121,"中信兄弟  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"41","2024/5/28",22,123,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"42","2024/5/29",22,125,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,261.882895961592
"43","2024/5/31",22,130,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"44","2024/6/1",22,133,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,0
"45","2024/6/2",22,136,"統一7-ELEVEn獅  VS.  富邦悍將","新莊",121.44871,25.04146,261.882895961592
"46","2024/6/4",23,138,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"47","2024/6/5",23,141,"台鋼雄鷹  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"48","2024/6/7",23,145,"味全龍  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"49","2024/6/8",23,148,"味全龍  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"50","2024/6/9",23,151,"味全龍  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"51","2024/6/10",24,153,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,39.5086584548923
"52","2024/6/13",24,155,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"53","2024/6/14",24,158,"統一7-ELEVEn獅  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,292.556466888542
"54","2024/6/15",24,162,"統一7-ELEVEn獅  VS.  中信兄弟","大巨蛋",121.55958,25.0426,0
"55","2024/6/16",24,165,"統一7-ELEVEn獅  VS.  中信兄弟","大巨蛋",121.55958,25.0426,36.4797077195007
"56","2024/6/18",25,168,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"57","2024/6/20",25,171,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"58","2024/6/21",25,173,"富邦悍將  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"59","2024/6/22",25,176,"味全龍  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"60","2024/6/23",25,179,"味全龍  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,267.610717252004
"61","2024/7/5",27,181,"中信兄弟  VS.  統一7-ELEVEn獅","大巨蛋",121.55958,25.0426,0
"62","2024/7/6",27,184,"中信兄弟  VS.  統一7-ELEVEn獅","大巨蛋",121.55958,25.0426,0
"63","2024/7/7",27,187,"中信兄弟  VS.  統一7-ELEVEn獅","大巨蛋",121.55958,25.0426,8.35151213798012
