"","日日","周次","場次","隊伍","球場","經度","緯度","移動距離"
"1","2024/3/30",13,1,"樂天桃猿  VS.  味全龍","大巨蛋",121.55958,25.0426,36.4797077195007
"2","2024/3/31",13,3,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"3","2024/4/3",14,5,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"4","2024/4/4",14,8,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"5","2024/4/5",14,11,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"6","2024/4/6",14,14,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"7","2024/4/7",14,17,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,274.881226656885
"8","2024/4/9",15,21,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"9","2024/4/10",15,23,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,287.907354161763
"10","2024/4/12",15,28,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"11","2024/4/13",15,31,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"12","2024/4/14",15,34,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,25.4034517790673
"13","2024/4/16",16,36,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"14","2024/4/17",16,38,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,35.758903227925
"15","2024/4/19",16,42,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,0
"16","2024/4/20",16,45,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,0
"17","2024/4/21",16,48,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,133.050022994122
"18","2024/4/23",17,50,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"19","2024/4/24",17,53,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,103.328935735713
"20","2024/4/26",17,57,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"21","2024/4/27",17,60,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"22","2024/4/28",17,63,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"23","2024/5/1",18,68,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"24","2024/5/2",18,69,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"25","2024/5/3",18,72,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"26","2024/5/4",18,75,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"27","2024/5/5",18,78,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,273.05766020534
"28","2024/5/8",19,81,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,35.758903227925
"29","2024/5/10",19,86,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"30","2024/5/11",19,89,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"31","2024/5/12",19,92,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"32","2024/5/14",20,94,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"33","2024/5/15",20,96,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,103.328935735713
"34","2024/5/17",20,98,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"35","2024/5/18",20,101,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"36","2024/5/19",20,104,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,121.435132699943
"37","2024/5/21",21,107,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"38","2024/5/22",21,109,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,25.4034517790673
"39","2024/5/24",21,114,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"40","2024/5/25",21,117,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"41","2024/5/26",21,120,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"42","2024/5/28",22,123,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"43","2024/5/29",22,125,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,39.5086584548923
"44","2024/5/31",22,129,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"45","2024/6/1",22,132,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"46","2024/6/2",22,135,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,274.881226656885
"47","2024/6/4",23,137,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"48","2024/6/5",23,140,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"49","2024/6/7",23,143,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"50","2024/6/8",23,146,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"51","2024/6/9",23,149,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"52","2024/6/10",24,153,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,144.24869948821
"53","2024/6/13",24,156,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,128.957508569234
"54","2024/6/14",24,159,"樂天桃猿  VS.  中信兄弟","大巨蛋",121.55958,25.0426,8.35151213798012
"55","2024/6/15",24,161,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,0
"56","2024/6/16",24,164,"樂天桃猿  VS.  味全龍","天母",121.53295,25.11364,35.758903227925
"57","2024/6/18",25,168,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"58","2024/6/21",25,174,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"59","2024/6/22",25,177,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"60","2024/6/23",25,180,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"61","2024/7/5",27,183,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"62","2024/7/6",27,186,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"63","2024/7/7",27,189,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,103.328935735713
"64","2024/7/9",28,190,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"65","2024/7/10",28,193,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,175.197412199752
"66","2024/7/12",28,198,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"67","2024/7/13",28,201,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"68","2024/7/14",28,204,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,274.881226656885
"69","2024/7/17",29,209,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"70","2024/7/18",29,210,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"71","2024/7/23",30,211,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"72","2024/7/24",30,213,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"73","2024/7/26",30,217,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"74","2024/7/27",30,220,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"75","2024/7/28",30,223,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,25.4034517790673
"76","2024/7/31",31,230,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"77","2024/8/1",31,231,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,116.071156635402
"78","2024/8/2",31,233,"樂天桃猿  VS.  味全龍","花蓮",121.58579,24.00626,0
"79","2024/8/3",31,236,"樂天桃猿  VS.  味全龍","花蓮",121.58579,24.00626,0
"80","2024/8/4",31,239,"樂天桃猿  VS.  味全龍","花蓮",121.58579,24.00626,117.398816107093
"81","2024/8/6",32,242,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"82","2024/8/7",32,244,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,117.398816107093
"83","2024/8/9",32,247,"樂天桃猿  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"84","2024/8/10",32,250,"樂天桃猿  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,0
"85","2024/8/11",32,254,"樂天桃猿  VS.  統一7-ELEVEn獅","花蓮",121.58579,24.00626,195.841261066664
"86","2024/8/13",33,257,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,0
"87","2024/8/14",33,259,"樂天桃猿  VS.  台鋼雄鷹","澄清湖",120.35913,22.6548,274.881226656885
"88","2024/8/16",33,264,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"89","2024/8/17",33,267,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"90","2024/8/18",33,270,"統一7-ELEVEn獅  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,157.995621066378
"91","2024/8/21",34,275,"樂天桃猿  VS.  味全龍","斗六",120.53631,23.71729,0
"92","2024/8/22",34,276,"樂天桃猿  VS.  味全龍","斗六",120.53631,23.71729,55.8205004220783
"93","2024/8/23",34,278,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"94","2024/8/24",34,281,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,0
"95","2024/8/25",34,284,"樂天桃猿  VS.  中信兄弟","洲際",120.68513,24.19994,103.328935735713
"96","2024/8/27",35,286,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"97","2024/8/28",35,288,"富邦悍將  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"98","2024/8/30",35,292,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"99","2024/8/31",35,295,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"100","2024/9/1",35,298,"台鋼雄鷹  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,246.595272768744
"101","2024/9/3",36,302,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,0
"102","2024/9/4",36,304,"樂天桃猿  VS.  統一7-ELEVEn獅","台南",120.20648,22.98063,246.595272768744
"103","2024/9/6",36,309,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"104","2024/9/7",36,312,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"105","2024/9/8",36,315,"味全龍  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"106","2024/9/11",37,320,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,0
"107","2024/9/12",37,321,"中信兄弟  VS.  樂天桃猿","樂天桃園",121.20086,25.00101,25.4034517790673
"108","2024/9/13",37,322,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
"109","2024/9/14",37,325,"樂天桃猿  VS.  富邦悍將","新莊",121.44871,25.04146,0
